Created On,Topic,Owner,Potential Customer,Status,Status Reason,Est. revenue,Est. close date,Actual Revenue,Actual Close Date,Probability,Rating,Sales Stage,Forecast category,Customer Need,Proposed Solution,Source Campaign,Purchase Process,Purchase Timeframe,Currency,Contact,Price List,Revenue
5/20/2024 7:42,Adatum Corporation | 1-Year Fair Trade Coffee Subscription,Jim Nakashima,Adatum Corporation,Lost,Canceled,13400,8/31/2024,0,8/31/2024,15,Cold,Close,,SUBSCRIPTION-CM,1-Year Fair Trade Coffee Subscription,Perfect Brew Coffee  Webinar,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/27/2021 0:00,Adatum Corporation | 1-Year Organic Office Coffee Subscription,Alan Ross,Adatum Corporation,Won,Won,20450,6/26/2021,20450,6/26/2021,95,Hot,Close,,SUBSCRIPTION-CM,1-Year Organic Office Coffee Subscription,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/10/2021 0:00,Adatum Corporation | 1-Year Organic Office Coffee Subscription,Per Mikkelsen,Adatum Corporation,Won,Won,8250,12/28/2021,8250,12/28/2021,60,Warm,Close,,SUBSCRIPTION-CM,1-Year Organic Office Coffee Subscription,New Product Release,Unknown,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/18/2024 7:03,Adatum Corporation | 1-Year Organic Office Coffee Subscription,Jim Nakashima,Adatum Corporation,Lost,Canceled,12200,8/28/2024,0,8/28/2024,45,Cold,Close,,SUBSCRIPTION-CM,1-Year Organic Office Coffee Subscription,,Individual,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
12/23/2021 0:00,Adatum Corporation | 2-Year Espresso Blend Subscription,Jim Nakashima,Adatum Corporation,Lost,Canceled,116550,7/18/2022,0,7/18/2022,15,Cold,Close,,SUBSCRIPTION-CM,2-Year Espresso Blend Subscription,New Product Release,Unknown,Next Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
2/28/2024 15:56,Adatum Corporation | 2-Year Espresso Blend Subscription,Jeff Comstock,Adatum Corporation,Won,Won,53550,5/2/2024,53550,5/2/2024,90,Hot,Close,,SUBSCRIPTION-CM,2-Year Espresso Blend Subscription,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
5/10/2024 12:30,Adatum Corporation | 2-Year Fair Trade Coffee Subscription,Ayushman Jain,Adatum Corporation,Won,Won,39650,6/29/2024,39650,6/29/2024,65,Warm,Close,Won,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,Loyalty Customer Promotion,Committee,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
10/19/2022 17:40,Adatum Corporation | 2-Year Fair Trade Coffee Subscription,Eric Boocock,Adatum Corporation,Won,Won,26450,11/24/2022,26450,11/24/2022,90,Hot,Close,,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
9/27/2021 0:00,Adatum Corporation | 2-Year Fair Trade Coffee Subscription,Julie Strauss,Adatum Corporation,Lost,Canceled,27400,12/23/2021,0,12/23/2021,30,Cold,Close,,SUBSCRIPTION-CM,2-Year Fair Trade Coffee Subscription,Perfect Brew Coffee  Webinar,Unknown,This Quarter,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
1/15/2024 12:47,Adatum Corporation | 2-Year Organic Office Coffee Subscription,Per Mikkelsen,Adatum Corporation,Won,Won,22750,2/17/2024,22750,2/17/2024,95,Hot,Close,Won,SUBSCRIPTION-CM,2-Year Organic Office Coffee Subscription,Coffee Machine Excellence,Individual,Immediate,US Dollar,Kevin Martin,Contoso Coffee Price List,User Provided
