Name,Product ID,Hierarchy Path,Valid From,Valid To,Status,Product Structure,List Price,Standard Cost,Default Unit,Default Price List,Current Cost,Product Type,Purchase Name,Unit Group,Subject,Description,Decimals Supported
Barista Home Express,USRTBAHMC,,1/1/2023,12/31/2023,Retired,Product,,594.00,Quantity,,594.00,Sales Inventory,Barista Home,Quantity,,,2
Precision Brew Lite,USRTPRBRLC,,1/2/2025,12/31/2025,Active,Product,,231.00,Quantity,,231.00,Sales Inventory,Precision Brew Lite,Quantity,,,2
Cafe A-100 Automatic,USRTCA100AB,,1/3/2025,12/31/2025,Retired,Product,,15380.00,Quantity,Contoso Coffee Price List,15380.00,Sales Inventory,Café A-100 Automatic,Quantity,,,2
Smart Brew 300 LED Screen,USRTSTCAN,,1/4/2025,12/31/2025,Active,Product,,125.00,Quantity,,125.00,Sales Inventory,Smart Brew 300 LED Screen,Quantity,,,2
Smart Brew 300 - Circuit Board,USRTDXDCTR,,1/5/2025,12/31/2025,Active,Product,,175.00,Quantity,,175.00,Sales Inventory,Smart Brew 300 - Circuit Board,Quantity,,,2
Smart Brew 300 Wiring,USRTSMW300,,1/6/2025,12/31/2025,Active,Product,,75.00,Quantity,,75.00,Sales Inventory,Smart Brew 300 Wiring,Quantity,,,2
Brew Filter,USRTBRFI-SP,,1/7/2025,12/31/2025,Retired,Product,,19.00,Quantity,,19.00,Sales Inventory,Brew Filters,Quantity,Subscription,,2
SUBSCRIPTION-CM,CM-SUBS,,1/8/2025,12/31/2025,Active,Product Family,,,,,,Sales Inventory,SUBSCRIPTION-CM,,,Parent Commercial Subscription.,
COFFEE BEANS,COBNS,,1/9/2025,12/31/2025,Active,Product Family,,,,,,Sales Inventory,COFFEE BEANS,,,Parent coffee beans.,
CONSUMER ESPRESSO,CS-ESP,,1/10/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,CONSUMER ESPRESSO,Default Unit,,,2
CONSUMER COFFEE MAKERS,CS-CFM,,1/11/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,CONSUMER COFFEE MAKERS,Default Unit,,,2
COMMERCIAL ESPRESSO,CM-ESP,,1/12/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,COMMERCIAL ESPRESSO,Default Unit,,,2
COMMERCIAL COFFEE MAKERS,CM-CFM,,1/13/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,COMMERCIAL COFFEE MAKERS,Default Unit,,,2
CONSUMER COFFEE GRINDERS,CS-GRD,,1/14/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,CONSUMER COFFEE GRINDERS,Default Unit,,,2
COMMERCIAL COFFEE GRINDERS,CM-GRD,,1/15/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,COMMERCIAL COFFEE GRINDERS,Default Unit,,,2
DRINKWARE,ACS-DRW,,1/16/2025,12/31/2025,Active,Product Family,,,Primary Unit,,,Sales Inventory,DRINKWARE,Default Unit,,,2
SERVICES,SRC,,1/17/2025,12/31/2025,Active,Product Family,,,,,,Sales Inventory,SERVICES,,,,
